beta_P3HT	delta_P3HT	beta_P3HTpara	delta_P3HTpara	beta_P3HTperp	delta_P3HTperp	energy_P3HT	beta_pcbm	beta_peg	beta_pmma	beta_ps	beta_si	beta_vac	delta_pcbm	delta_peg	delta_pmma	delta_ps	delta_si	delta_vac	energy_pcbm	energy_pmma	energy_ps	energy_si	energy_vac	energy_peg	energy	beta_pbttt1	delta_pbttt1	energy_pbttt1	beta_pbttt	delta_pbttt	energy_pbttt	beta_pbtttp	delta_pbtttp	energy_pbtttp	beta_n2200	delta_n2200	energy_n2200	energy_p3htpara	energy_p3htperp
0.4993927303334922	-0.6220029596645129	0.4292082337184112	-0.050992185170374	0.4292082337184112	-0.04534259740316607	11.7404	0.5139678848378347	0.2975554029993311	0.3213689143557141	0.3448396568237309	1.011996477629576	0	-0.8201582889489679	5.942137404111713e-05	0.25134852519726	-0.03995095436805306	0.7408402817896339	0	11.7404	11.7404	11.7404	11.7404	11.7404	11.7404	11.7404	0.5664177936088582	-0.1276967487290601	11.7404	0.5664177936088582	-0.1276967487290601	11.7404	0.5664177936088582	-0.1350248543067575	11.7404	0.3213434325184037	-0.01470782645404867	11.7404	11.7404	11.7404
0.5130774627167788	-0.5801769619819042	0.4409697181341279	-0.04553781600305164	0.4409697181341279	-0.04006448072679215	11.9303	0.5275189750212211	0.3026546970144639	0.3192882069016233	0.3541965367707332	0.9761732094862107	0	-0.775091690120282	0.003567156548332288	0.2502382969661594	-0.03929004824079663	0.7424394378942037	0	11.9303	11.9303	11.9303	11.9303	11.9303	11.9303	11.9303	0.5807449467002288	-0.1180954305396396	11.9303	0.5807449467002288	-0.1180954305396396	11.9303	0.5807449467002288	-0.1252199174926768	11.9303	0.3292971770249712	-0.01386689519474318	11.9303	11.9303	11.9303
0.522501426063554	-0.5399009534273161	0.4490692406481924	-0.03839108462559403	0.4490692406481924	-0.0330915624553162	12.1232	0.5390812731529417	0.3080152091904376	0.3171746288716386	0.362195556017834	0.9408956305888584	0	-0.7324693066283091	0.006125630115691214	0.2491105295844885	-0.03819461884512432	0.7434912082091365	0	12.1232	12.1232	12.1232	12.1232	12.1232	12.1232	12.1232	0.5922729204748951	-0.1075057471143553	12.1232	0.5922729204748951	-0.1075057471143553	12.1232	0.5922729204748951	-0.1142869220302455	12.1232	0.3357299642986979	-0.01260179376338012	12.1232	12.1232	12.1232
0.5309651731081947	-0.5033648943787621	0.4563434953559929	-0.03233276057310153	0.4563434953559929	-0.02720103220172955	12.3193	0.5507784330207675	0.3134381671774127	0.3150259888940334	0.370280398314993	0.9061541630778851	0	-0.6929147301715474	0.007759530747052757	0.2479640537755425	-0.03724509580923877	0.744275484579584	0	12.3193	12.3193	12.3193	12.3193	12.3193	12.3193	12.3193	0.6017189121453029	-0.09730204909875126	12.3193	0.6017189121453029	-0.09730204909875126	12.3193	0.6017189121453029	-0.1039808083610886	12.3193	0.3419012330032175	-0.01150734268876133	12.3193	12.3193	12.3193
0.5396054373273566	-0.4691274659872378	0.4637694595703508	-0.02645526441541202	0.4637694595703508	-0.02148548964398335	12.5186	0.5627417688534516	0.3186837800393681	0.3128422869688081	0.3785439226826318	0.8719459941321485	0	-0.6552407091243997	0.008544070724662666	0.2467988695393216	-0.03592813951096779	0.744927285574575	0	12.5186	12.5186	12.5186	12.5186	12.5186	12.5186	12.5186	0.611507591935545	-0.08736060412597255	12.5186	0.611507591935545	-0.08736060412597255	12.5186	0.611507591935545	-0.09384939291994382	12.5186	0.3481826642646187	-0.01033366128458305	12.5186	12.5186	12.5186
0.5484430099391595	-0.4352637840223099	0.4713650025181567	-0.01944590307630905	0.4713650025181567	-0.01463236053775087	12.721	0.5749961971775276	0.3235120366558036	0.3106246187818255	0.3869995151599101	0.8379442180585399	0	-0.6188225725224111	0.008585147530094863	0.245615561514178	-0.0339527940204157	0.7441177194775843	0	12.721	12.721	12.721	12.721	12.721	12.721	12.721	0.6206863659804752	-0.07639014008076006	12.721	0.6206863659804752	-0.07639014008076006	12.721	0.6206863659804752	-0.08261639522018596	12.721	0.3546255462232198	-0.008509703630166017	12.721	12.721	12.721
0.5547925397583617	-0.4024957028936724	0.4768221714217212	-0.01192609716118287	0.4768221714217212	-0.007263419434847933	12.9268	0.5875190618018995	0.3276982597771942	0.3083696972754965	0.3956358646386918	0.8040767212861312	0	-0.5830077667024753	0.007999112761940968	0.2444123757850547	-0.0310332157230649	0.742589108355421	0	12.9268	12.9268	12.9268	12.9268	12.9268	12.9268	12.9268	0.6282656712569343	-0.06468172939763103	12.9268	0.6282656712569343	-0.06468172939763103	12.9268	0.6282656712569343	-0.07077568906297953	12.9268	0.3606360624605789	-0.006049097045496483	12.9268	12.9268	12.9268
0.5612470076602938	-0.3716147177039368	0.4823695304430077	-0.004324716299763155	0.4823695304430077	0.00019119601974869	13.1359	0.6003340245824395	0.3310610012596079	0.306078618135684	0.404467845576779	0.7703271689896762	0	-0.5471375834147937	0.006894739417502627	0.2431898969903041	-0.02673367070342692	0.7403745376742257	0	13.1359	13.1359	13.1359	13.1359	13.1359	13.1359	13.1359	0.6355252946016785	-0.05232510522682794	13.1359	0.6355252946016785	-0.05232510522682794	13.1359	0.6355252946016785	-0.05828469202835073	13.1359	0.3667168711154067	-0.002790560490572741	13.1359	13.1359	13.1359
0.5679371739971277	-0.3393888060369407	0.4881194629155877	0.005520740956999374	0.4881194629155877	0.009893069054186228	13.3483	0.6134524545149106	0.3334864959365039	0.3037513813623882	0.4135034908052056	0.7371271449776444	0	-0.5078449066516765	0.005359667388671906	0.2419481251299261	-0.01935676510320932	0.7374344363134362	0	13.3483	13.3483	13.3483	13.3483	13.3483	13.3483	13.3483	0.6416233311577259	-0.03838201057293025	13.3483	0.6416233311577259	-0.03838201057293025	13.3483	0.6416233311577259	-0.04411297612009066	13.3483	0.3727178659638065	0.002469542064870055	13.3483	13.3483	13.3483
0.5693712293185554	-0.3079422759322429	0.4893519765550101	0.01556512978331542	0.4893519765550101	0.01980108545739745	13.5642	0.618777070793879	0.3349476451213849	0.3013857955838826	0.4172070378351899	0.7045663947357784	0	-0.4686654802062648	0.00345301100890037	0.2406858909272162	-0.01097995157331034	0.7339801507822463	0	13.5642	13.5642	13.5642	13.5642	13.5642	13.5642	13.5642	0.6441740280111521	-0.0238392742569401	13.5642	0.6441740280111521	-0.0238392742569401	13.5642	0.6441740280111521	-0.02939364775693966	13.5642	0.3751323062509637	0.00827340585128845	13.5642	13.5642	13.5642
